        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
----------------------------------------------------------------------------------------------------------------
             0.099999994                      0.37040811                       182.29089
                  0.1699                      0.37196303                       183.86827
              0.23979999                      0.37430571                       185.40917
              0.30969998                      0.37741513                       186.90014
              0.37959999                      0.38126404                       188.32904
              0.44949999                      0.38582004                       189.68554
                  0.5194                      0.39104649                       190.96103
              0.58929998                      0.39690337                       192.14875
              0.65919995                       0.4033483                       193.24382
              0.72909999                      0.41033737                         194.243
              0.79899997                      0.41782603                       195.14465
              0.86889994                      0.42576966                       195.94848
              0.93879998                      0.43412424                       196.65535
                  1.0087                      0.44284665                       197.26707
               1.0785999                      0.45189515                       197.78621
                  1.1485                      0.46122953                       198.21596
                  1.2184                      0.47081141                        198.5599
                  1.2883                      0.48060416                       198.82188
               1.3582001                      0.49057306                       199.00598
               1.4280999                      0.50068534                       199.11634
               1.4979999                      0.51091014                       199.15709
               1.5678999                      0.52121836                       199.13234
               1.6377999                      0.53158271                       199.04611
               1.7076999                      0.54197763                       198.90227
               1.7775999                      0.55237925                       198.70457
                  1.8475                      0.56276504                       198.45657
                  1.9174                      0.57311421                       198.16171
               1.9872999                       0.5834072                       197.82321
                  2.0572                      0.59362589                       197.44414
                  2.1271                      0.60375329                        197.0274
               2.1969998                      0.61377374                       196.57571
               2.2668998                      0.62367264                       196.09166
               2.3367999                      0.63343629                       195.57767
               2.4066999                      0.64305232                       195.03601
               2.4765999                      0.65250909                       194.46884
                  2.5465                      0.66179593                       193.87817
               2.6163998                      0.67090311                        193.2659
               2.6862998                      0.67982165                       192.63381
               2.7561998                      0.68854349                       191.98359
               2.8260999                      0.69706114                       191.31681
               2.8959999                       0.7053679                       190.63496
               2.9658999                      0.71345798                       189.93947
                  3.0358                      0.72132596                       189.23165
                  3.1057                      0.72896736                       188.51274
               3.1756001                      0.73637816                       187.78395
               3.2454998                      0.74355495                       187.04638
               3.3153999                      0.75049494                       186.30111
               3.3852999                      0.75719602                       185.54915
                  3.4552                      0.76365651                       184.79142
                  3.5251                      0.76987525                       184.02887
                   3.595                      0.77585154                       183.26231
               3.6649001                       0.7815855                        182.4926
               3.7347999                      0.78707737                        181.7205
               3.8046999                       0.7923281                       180.94675
               3.8745999                       0.7973388                       180.17203
                  3.9445                      0.80211158                       179.39704
                  4.0144                      0.80664835                        178.6224
                  4.0843                      0.81095173                       177.84871
               4.1542001                      0.81502495                       177.07655
               4.2241001                      0.81887101                       176.30648
               4.2940001                      0.82249399                         175.539
               4.3638997                      0.82589778                       174.77462
               4.4338002                      0.82908681                        174.0138
               4.5036998                      0.83206595                       173.25697
               4.5735998                      0.83484022                       172.50458
               4.6434999                      0.83741479                       171.75699
               4.7133999                      0.83979546                        171.0146
               4.7832999                      0.84198801                       170.27774
                  4.8532                      0.84399856                       169.54674
                  4.9231                      0.84583332                       168.82191
                   4.993                      0.84749888                       168.10354
               5.0629001                      0.84900192                       167.39186
               5.1327996                       0.8503493                       166.68713
               5.2026997                      0.85154799                       165.98955
               5.2725997                        0.852605                       165.29933
               5.3424997                      0.85352767                       164.61663
               5.4123998                      0.85432317                       163.94157
               5.4822998                      0.85499889                       163.27433
               5.5521998                      0.85556226                       162.61497
               5.6220999                      0.85602061                        161.9636
               5.6919999                      0.85638141                       161.32026
               5.7618999                      0.85665194                       160.68498
               5.8317995                      0.85683966                       160.05781
                  5.9017                      0.85695166                       159.43869
               5.9715996                      0.85699521                       158.82763
               6.0415001                      0.85697748                       158.22458
               6.1113997                      0.85690515                       157.62943
               6.1813002                      0.85678525                       157.04214
               6.2511997                      0.85662432                       156.46256
               6.3210998                      0.85642882                       155.89053
               6.3909998                      0.85620484                       155.32599
               6.4608998                      0.85595865                       154.76867
               6.5307999                      0.85569592                       154.21847
               6.6006999                      0.85542208                       153.67515
               6.6705999                       0.8551425                       153.13843
                  6.7405                      0.85486222                       152.60816
               6.8103995                      0.85458586                       152.08405
                  6.8803                      0.85431782                       151.56579
               6.9501996                      0.85406218                       151.05322
               7.0201001                      0.85382278                       150.54596
               7.0899997                      0.85360301                       150.04377
               7.1599002                      0.85340601                       149.54632
               7.2297997                      0.85323458                       149.05335
               7.2996998                      0.85309117                       148.56446
               7.3695998                       0.8529779                        148.0794
               7.4394994                      0.85289673                        147.5979
               7.5093999                      0.85284881                       147.11954
               7.5792994                      0.85283552                       146.64408
                  7.6492                      0.85285765                       146.17117
               7.7190995                      0.85291569                       145.70053
                   7.789                      0.85300994                       145.23184
               7.8588996                       0.8531403                       144.76486
               7.9288001                      0.85330643                       144.29922
               7.9986997                      0.85350766                       143.83469
               8.0685997                      0.85374328                         143.371
               8.1385002                        0.854012                       142.90787
               8.2083998                      0.85431269                        142.4451
               8.2783003                      0.85464373                       141.98245
               8.3481998                      0.85500343                       141.51969
               8.4181004                      0.85538988                       141.05662
               8.4879999                      0.85580113                       140.59298
