        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
                 11.1442                      0.89853322                       178.33825
                 11.2141                      0.89849038                       178.21471
               11.283999                      0.89843043                       178.09057
                 11.3539                      0.89835187                       177.96598
                 11.4238                       0.8982531                       177.84096
               11.493699                        0.898133                       177.71565
                 11.5636                      0.89799094                       177.59015
                 11.6335                      0.89782588                       177.46457
                 11.7034                      0.89763782                       177.33902
               11.773299                      0.89742653                       177.21362
                 11.8432                       0.8971923                       177.08849
                 11.9131                      0.89693562                       176.96372
               11.982999                      0.89665721                       176.83945
               12.052899                      0.89635806                        176.7157
                 12.1228                       0.8960392                       176.59259
                 12.1927                      0.89570212                       176.47022
               12.262599                       0.8953482                       176.34863
                 12.3325                      0.89497886                       176.22785
                 12.4024                      0.89459595                       176.10785
                 12.4723                      0.89420087                       175.98871
               12.542199                      0.89379537                       175.87042
                 12.6121                      0.89338101                        175.7529
                  12.682                      0.89295925                       175.63617
                 12.7519                      0.89253153                       175.52014
               12.821799                       0.8920991                       175.40478
                 12.8917                      0.89166298                       175.29001
               12.961599                       0.8912241                       175.17572
                 13.0315                      0.89078313                       175.06182
               13.101399                      0.89034067                       174.94824
                 13.1713                      0.88989684                        174.8349
               13.241199                      0.88945165                       174.72165
               13.311099                        0.889005                       174.60839
                  13.381                      0.88855652                       174.49505
                 13.4509                      0.88810556                       174.38154
                 13.5208                      0.88765119                       174.26776
               13.590699                      0.88719262                       174.15365
                 13.6606                      0.88672861                       174.03912
               13.730499                      0.88625804                       173.92413
                 13.8004                      0.88577953                       173.80859
               13.870299                      0.88529152                       173.69256
                 13.9402                      0.88479273                       173.57593
               14.010099                      0.88428169                       173.45874
                   14.08                      0.88375685                         173.341
               14.149899                      0.88321681                       173.22271
               14.219799                      0.88266033                       173.10388
                 14.2897                      0.88208613                       172.98463
                 14.3596                      0.88149314                       172.86489
                 14.4295                      0.88088026                       172.74485
               14.499399                      0.88024667                       172.62446
                 14.5693                       0.8795918                       172.50385
                 14.6392                      0.87891505                       172.38312
               14.709099                      0.87821603                       172.26227
               14.778999                      0.87749462                       172.14148
                 14.8489                      0.87675094                       172.02075
                 14.9188                      0.87598503                       171.90014
               14.988699                      0.87519722                       171.77982
               15.058599                      0.87438806                       171.65976
                 15.1285                      0.87355809                        171.5401
                 15.1984                      0.87270804                       171.42084
               15.268299                      0.87183861                       171.30201
                 15.3382                      0.87095079                       171.18371
                 15.4081                      0.87004531                       171.06589
               15.477999                       0.8691232                       170.94861
               15.547899                      0.86818544                       170.83185
                 15.6178                      0.86723273                       170.71564
                 15.6877                      0.86626597                       170.59992
               15.757599                      0.86528611                       170.48474
               15.827499                       0.8642936                       170.36996
                 15.8974                      0.86328919                       170.25565
               15.967299                      0.86227324                        170.1417
               16.037199                      0.86124612                       170.02804
                 16.1071                      0.86020801                        169.9147
                  16.177                      0.85915891                       169.80154
               16.246899                      0.85809892                        169.6886
               16.316799                      0.85702766                       169.57575
                 16.3867                      0.85594475                       169.46288
               16.456598                      0.85484974                       169.35009
               16.526499                      0.85374197                       169.23724
               16.596399                       0.8526208                       169.12433
                 16.6663                       0.8514852                       169.01129
               16.736198                      0.85033441                       168.89807
               16.806099                      0.84916732                       168.78473
               16.875999                      0.84798303                        168.6712
                 16.9459                      0.84678041                       168.55756
               17.015799                      0.84555837                        168.4437
               17.085699                      0.84431592                       168.32972
                 17.1556                      0.84305192                       168.21564
                 17.2255                      0.84176542                       168.10148
               17.295401                       0.8404556                       167.98728
               17.365299                      0.83912152                       167.87315
                 17.4352                       0.8377625                       167.75907
               17.505098                      0.83637789                       167.64511
               17.574999                       0.8349671                       167.53143
               17.644899                      0.83352983                       167.41803
                 17.7148                       0.8320657                         167.305
                 17.7847                      0.83057458                       167.19245
               17.854599                      0.82905628                       167.08038
                 17.9245                      0.82751114                       166.96894
                 17.9944                      0.82593911                       166.85822
               18.064299                      0.82434063                       166.74823
               18.134199                        0.822716                       166.63904
                 18.2041                      0.82106566                       166.53077
                  18.274                      0.81939011                       166.42346
               18.343899                       0.8176901                       166.31715
               18.413799                      0.81596608                       166.21185
                 18.4837                      0.81421867                       166.10766
                 18.5536                      0.81244874                       166.00464
               18.623499                      0.81065672                       165.90274
               18.693399                      0.80884326                       165.80203
                 18.7633                        0.807009                       165.70248
               18.833199                      0.80515438                       165.60416
               18.903099                      0.80327995                       165.50704
                  18.973                      0.80138604                       165.41113
                 19.0429                      0.79947297                        165.3164
               19.112801                        0.797541                       165.22289
               19.182699                      0.79559026                       165.13062
                 19.2526                      0.79362082                       165.03949
               19.322498                      0.79163263                       164.94959
               19.392399                       0.7896255                       164.86084
               19.462299                      0.78759927                       164.77332
                 19.5322                      0.78555366                       164.68698
                 19.6021                      0.78348821                       164.60184
               19.672001                      0.78140271                       164.51795
               19.741899                      0.77929653                        164.4353
               19.811798                      0.77716936                       164.35394
               19.881699                      0.77502052                       164.27387
               19.951599                       0.7728496                        164.1952
                 20.0215                      0.77065618                       164.11792
                 20.0914                      0.76843975                       164.04217
               20.161301                      0.76619975                       163.96796
               20.231199                      0.76393603                       163.89542
               20.301098                      0.76164816                       163.82459
               20.370998                      0.75933603                       163.75558
               20.440899                      0.75699937                        163.6885
               20.510799                      0.75463828                       163.62347
                 20.5807                      0.75225284                        163.5606
                 20.6506                      0.74984314                       163.49997
               20.720501                      0.74740953                       163.44175
               20.790398                      0.74495251                       163.38601
               20.860298                      0.74247254                       163.33294
               20.930199                      0.73997035                       163.28259
               21.000099                      0.73744661                       163.23517
                   21.07                      0.73490221                       163.19071
                 21.1399                      0.73233818                       163.14939
               21.209801                      0.72975559                        163.1113
               21.279701                      0.72715547                       163.07653
               21.349598                      0.72453921                       163.04523
               21.419498                      0.72190793                       163.01745
               21.489399                       0.7192629                       162.99338
               21.559299                      0.71660554                       162.97299
                 21.6292                      0.71393721                       162.95645
                 21.6991                       0.7112593                       162.94378
               21.769001                      0.70857323                       162.93505
               21.838898                      0.70588021                       162.93042
               21.908798                      0.70318166                       162.92981
               21.978699                      0.70047897                       162.93341
               22.048599                      0.69777337                       162.94116
                 22.1185                      0.69506603                       162.95318
                 22.1884                      0.69235825                       162.96948
               22.258301                      0.68965119                       162.99011
               22.328199                      0.68694589                        163.0151
               22.398098                      0.68424351                       163.04453
               22.467999                      0.68154498                       163.07841
               22.537899                      0.67885145                       163.11679
                 22.6078                      0.67616371                       163.15975
                 22.6777                      0.67348292                       163.20728
               22.747601                      0.67080993                       163.25946
               22.817499                      0.66814563                       163.31634
                 22.8874                      0.66549117                       163.37799
               22.957298                      0.66284735                       163.44446
               23.027199                      0.66021523                       163.51581
               23.097099                      0.65759594                        163.5921
                  23.167                      0.65499042                       163.67346
                 23.2369                      0.65240007                       163.75985
               23.306799                      0.64982593                       163.85145
               23.376699                       0.6472694                       163.94827
                 23.4466                      0.64473187                       164.05038
               23.516499                      0.64221477                       164.15793
               23.586399                       0.6397198                        164.2709
                 23.6563                      0.63724845                       164.38943
                 23.7262                      0.63480259                       164.51353
               23.796099                      0.63238399                       164.64322
               23.865999                      0.62999463                       164.77866
                 23.9359                      0.62763649                       164.91977
               24.005798                      0.62531165                       165.06662
               24.075699                      0.62302223                       165.21927
               24.145599                      0.62077034                       165.37765
                 24.2155                      0.61855823                       165.54184
               24.285398                      0.61638817                        165.7117
               24.355299                      0.61426238                       165.88724
                 24.4252                      0.61218295                       166.06842
                 24.4951                      0.61015229                       166.25513
               24.564999                      0.60817246                       166.44733
               24.634899                      0.60624562                       166.64487
                 24.7048                       0.6043738                       166.84763
               24.774698                      0.60255895                       167.05545
               24.844599                      0.60080293                       167.26822
               24.914499                      0.59910748                       167.48575
                 24.9844                      0.59747437                       167.70785
                 25.0543                      0.59590513                       167.93436
               25.124199                      0.59440099                       168.16504
               25.194099                       0.5929634                       168.39966
                  25.264                      0.59159346                       168.63803
               25.333899                      0.59029208                        168.8799
               25.403799                      0.58906016                       169.12504
                 25.4737                      0.58789851                        169.3732
                 25.5436                      0.58680753                       169.62414
               25.613501                      0.58578788                       169.87763
               25.683399                      0.58483974                       170.13339
                 25.7533                      0.58396348                       170.39122
               25.823198                       0.5831592                       170.65085
               25.893099                      0.58242701                       170.91203
               25.962999                      0.58176661                       171.17456
                 26.0329                      0.58117814                       171.43818
                 26.1028                      0.58066132                       171.70265
               26.172701                      0.58021594                       171.96777
               26.242599                      0.57984174                       172.23332
               26.312498                      0.57953826                       172.49907
               26.382399                      0.57930542                       172.76482
               26.452299                      0.57914262                       173.03035
                 26.5222                      0.57904951                       173.29547
                 26.5921                      0.57902575                       173.55997
               26.662001                      0.57907084                       173.82363
               26.731899                      0.57918437                       174.08631
               26.801798                      0.57936585                       174.34777
               26.871698                      0.57961482                       174.60782
               26.941599                      0.57993078                       174.86626
               27.011499                      0.58031311                       175.12293
                 27.0814                      0.58076134                        175.3776
                 27.1513                      0.58127489                       175.63009
               27.221201                      0.58185305                       175.88022
               27.291098                      0.58249515                       176.12784
               27.360998                      0.58320039                       176.37265
               27.430899                      0.58396792                       176.61453
               27.500799                        0.584797                       176.85333
                 27.5707                      0.58568646                        177.0888
                 27.6406                      0.58663543                        177.3208
               27.710501                      0.58764258                       177.54913
               27.780397                      0.58870694                       177.77365
               27.850298                      0.58982696                       177.99417
               27.920198                      0.59100136                       178.21054
               27.990099                      0.59222873                       178.42258
               28.059999                      0.59350732                       178.63021
                 28.1299                      0.59483558                       178.83328
                 28.1998                      0.59621176                       179.03168
               28.269699                      0.59763411                       179.22527
               28.339598                      0.59910081                       179.41396
               28.409498                      0.60060992                       179.59768
               28.479399                       0.6021595                        179.7764
               28.549299                       0.6037476                       179.94998
                 28.6192                      0.60537223                       180.11844
                 28.6891                      0.60703141                       180.28171
               28.758999                      0.60872315                       180.43979
               28.828899                       0.6104455                       180.59268
               28.898798                      0.61219641                       180.74036
               28.968699                      0.61397421                       180.88288
               29.038599                      0.61577683                       181.02026
                 29.1085                      0.61760254                       181.15252
                 29.1784                      0.61944963                       181.27973
               29.248299                      0.62131644                       181.40192
               29.318199                      0.62320137                       181.51917
                 29.3881                      0.62510291                       181.63149
               29.457998                       0.6270196                       181.73904
               29.527899                       0.6289501                       181.84185
               29.597799                      0.63089322                          181.94
                 29.6677                      0.63284777                       182.03357
               29.737598                      0.63481264                       182.12261
               29.807499                       0.6367869                       182.20721
               29.877399                      0.63876937                       182.28748
               29.947298                      0.64075946                       182.36346
               30.017199                      0.64275616                       182.43524
               30.087099                      0.64475871                       182.50286
                  30.157                      0.64676647                       182.56644
