        Frequency / GHz                Eps' (Fit)/real
               12.344745                        34.36034
               12.414715                       34.273796
               12.484684                       34.187946
               12.528543                       34.134483
               12.554654                       34.102783
               12.624624                       34.018303
               12.694594                       33.934502
               12.764565                       33.851379
               12.834534                       33.768925
               12.904504                       33.687138
               12.974474                        33.60601
               13.044444                       33.525543
               13.114413                       33.445724
               13.184383                       33.366558
               13.254354                       33.288033
               13.324324                       33.210148
               13.385633                       33.142426
               13.394295                       33.132896
               13.464264                       33.056274
               13.534234                       32.980278
               13.604204                       32.904903
               13.674174                       32.830143
               13.744144                       32.755997
               13.814114                       32.682453
               13.884084                       32.609516
               13.954054                       32.537174
               14.024024                       32.465424
               14.093993                       32.394264
               14.163963                       32.323685
               14.233933                       32.253685
               14.301358                       32.186779
               14.303904                       32.184261
               14.373874                        32.11541
               14.443843                       32.047119
               14.513813                       31.979391
               14.583783                       31.912218
               14.653753                       31.845598
               14.723722                       31.779526
               14.793693                       31.713995
               14.863664                       31.649002
               14.933634                       31.584541
               15.003604                       31.520613
               15.073573                       31.457207
               15.143543                       31.394323
               15.213513                       31.331953
               15.279729                       31.273403
               15.283484                       31.270096
               15.353453                       31.208746
               15.423423                         31.1479
               15.493393                       31.087551
               15.563363                       31.027697
               15.633333                       30.968332
               15.703302                       30.909454
               15.773273                       30.851059
               15.843243                       30.793139
               15.913213                       30.735693
               15.983182                       30.678717
               16.053152                       30.622206
               16.123123                       30.566154
               16.193092                       30.510561
               16.263063                       30.455421
               16.325031                       30.406961
               16.333033                       30.400728
               16.403004                       30.346481
               16.472973                       30.292677
               16.542942                       30.239307
               16.612913                       30.186373
               16.682882                       30.133865
               16.752853                       30.081785
               16.822823                       30.030127
               16.892792                       29.978886
               16.962763                       29.928059
               17.032732                       29.877642
               17.102701                       29.827631
               17.172672                       29.778025
               17.242641                       29.728819
               17.312613                       29.680006
               17.382582                       29.631588
               17.441843                       29.590883
               17.452551                       29.583557
               17.522522                       29.535913
               17.592491                       29.488649
               17.662462                       29.441765
               17.732431                       29.395254
               17.802401                       29.349115
               17.872372                       29.303345
               17.942341                       29.257938
               18.012312                       29.212894
               18.082281                       29.168209
                18.15225                       29.123877
               18.222221                       29.079897
               18.292191                       29.036266
                18.36216                       28.992979
               18.432133                       28.950035
               18.502102                       28.907431
               18.572073                       28.865162
               18.635059                       28.827396
               18.642042                       28.823225
               18.712011                       28.781618
               18.781982                       28.740339
               18.851952                       28.699383
               18.921923                       28.658747
               18.991892                       28.618431
               19.061861                       28.578428
               19.131832                       28.538738
               19.201801                       28.499357
               19.271772                       28.460283
               19.341742                       28.421513
               19.411711                       28.383041
               19.481682                        28.34487
               19.551651                       28.306993
               19.621622                       28.269409
               19.691591                       28.232117
                19.76156                        28.19511
               19.831532                       28.158388
               19.901501                        28.12195
               19.909903                       28.117594
                19.97147                       28.085791
               20.041441                       28.049908
                20.11141                       28.014299
               20.181381                       27.978964
                20.25135                       27.943897
                20.32132                       27.909098
               20.391291                       27.874563
                20.46126                        27.84029
               20.531231                       27.806278
                 20.6012                       27.772524
               20.671169                       27.739023
                20.74114                       27.705776
                20.81111                       27.672781
               20.881081                       27.640034
                20.95105                       27.607531
               21.021019                       27.575274
                21.09099                       27.543257
               21.160959                        27.51148
               21.230928                       27.479942
               21.271959                       27.461557
               21.300901                       27.448637
               21.370871                       27.417566
               21.440842                       27.386726
               21.510811                       27.356115
                21.58078                       27.325731
               21.650751                        27.29557
                21.72072                       27.265635
               21.790691                       27.235918
               21.860661                       27.206421
                21.93063                       27.177139
               22.000601                       27.148075
                22.07057                       27.119223
               22.140541                        27.09058
                22.21051                       27.062149
               22.280479                       27.033924
               22.350451                       27.005903
                22.42042                       26.978088
               22.490391                       26.950474
                22.56036                       26.923061
               22.630329                       26.895845
                 22.7003                       26.868826
               22.727196                       26.858492
               22.770269                       26.842001
               22.840239                       26.815371
