        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
----------------------------------------------------------------------------------------------------------------
             0.099999994                      0.37397756                       182.75175
                  0.1699                      0.37548756                       184.65232
              0.23979999                      0.37776317                       186.51797
              0.30969998                      0.38078467                       188.33577
              0.37959999                      0.38452643                       190.09408
              0.44949999                      0.38895806                       191.78289
                  0.5194                      0.39404479                       193.39377
              0.58929998                      0.39974888                       194.92016
              0.65919995                      0.40603002                       196.35713
              0.72909999                      0.41284657                       197.70145
              0.79899997                      0.42015589                       198.95131
              0.86889994                      0.42791527                       200.10625
              0.93879998                      0.43608241                       201.16692
                  1.0087                      0.44461587                       202.13496
               1.0785999                      0.45347515                       203.01262
                  1.1485                      0.46262147                       203.80289
                  1.2184                      0.47201742                       204.50907
                  1.2883                      0.48162728                       205.13487
               1.3582001                      0.49141726                       205.68411
               1.4280999                      0.50135524                       206.16074
               1.4979999                      0.51141083                       206.56872
               1.5678999                      0.52155553                       206.91199
               1.6377999                       0.5317625                       207.19442
               1.7076999                      0.54200641                       207.41979
               1.7775999                      0.55226372                       207.59169
                  1.8475                      0.56251216                       207.71363
                  1.9174                       0.5727311                       207.78894
               1.9872999                       0.5829011                       207.82076
                  2.0572                      0.59300411                       207.81209
                  2.1271                      0.60302325                       207.76578
               2.1969998                        0.612943                       207.68451
               2.2668998                      0.62274849                       207.57081
               2.3367999                       0.6324264                       207.42708
               2.4066999                      0.64196408                       207.25556
               2.4765999                       0.6513499                       207.05833
                  2.5465                      0.66057316                       206.83743
               2.6163998                      0.66962407                       206.59473
               2.6862998                      0.67849361                       206.33197
               2.7561998                      0.68717338                       206.05084
               2.8260999                      0.69565597                       205.75288
               2.8959999                      0.70393458                       205.43961
               2.9658999                      0.71200323                       205.11238
                  3.0358                      0.71985639                       204.77255
                  3.1057                      0.72748933                       204.42132
               3.1756001                      0.73489788                       204.05992
               3.2454998                      0.74207841                       203.68942
               3.3153999                      0.74902813                        203.3109
               3.3852999                       0.7557445                       202.92536
                  3.4552                      0.76222564                       202.53373
                  3.5251                      0.76847025                       202.13694
                   3.595                      0.77447751                       201.73581
               3.6649001                      0.78024701                       201.33118
               3.7347999                      0.78577894                       200.92381
               3.8046999                      0.79107389                       200.51445
               3.8745999                      0.79613296                       200.10381
                  3.9445                      0.80095762                       199.69252
                  4.0144                      0.80554974                       199.28123
                  4.0843                      0.80991159                       198.87057
               4.1542001                      0.81404596                       198.46109
               4.2241001                      0.81795593                       198.05333
               4.2940001                      0.82164491                       197.64782
               4.3638997                      0.82511664                       197.24507
               4.4338002                      0.82837533                       196.84555
               4.5036998                      0.83142535                       196.44968
               4.5735998                      0.83427157                       196.05789
               4.6434999                      0.83691883                       195.67058
               4.7133999                      0.83937255                       195.28813
               4.7832999                      0.84163833                       194.91091
                  4.8532                      0.84372183                       194.53921
                  4.9231                      0.84562909                       194.17339
                   4.993                      0.84736633                       193.81369
               5.0629001                      0.84894001                       193.46041
               5.1327996                      0.85035664                       193.11376
               5.2026997                      0.85162291                       192.77402
               5.2725997                      0.85274574                       192.44133
               5.3424997                      0.85373199                        192.1159
               5.4123998                      0.85458868                        191.7979
               5.4822998                      0.85532305                       191.48744
               5.5521998                      0.85594212                       191.18466
               5.6220999                      0.85645325                       190.88964
               5.6919999                      0.85686343                       190.60245
               5.7618999                      0.85718006                       190.32315
               5.8317995                      0.85741012                       190.05178
                  5.9017                      0.85756093                       189.78835
               5.9715996                      0.85763939                       189.53279
               6.0415001                      0.85765241                       189.28514
               6.1113997                      0.85760704                       189.04531
               6.1813002                      0.85750991                       188.81324
               6.2511997                      0.85736754                       188.58882
               6.3210998                      0.85718639                       188.37193
               6.3909998                      0.85697264                       188.16246
               6.4608998                      0.85673238                       187.96025
               6.5307999                       0.8564714                       187.76518
               6.6006999                      0.85619533                       187.57695
               6.6705999                      0.85590946                       187.39543
                  6.7405                      0.85561887                       187.22044
               6.8103995                      0.85532846                       187.05168
                  6.8803                      0.85504259                       186.88891
               6.9501996                      0.85476561                       186.73192
