        Frequency / GHz                Eps'/real
               17.802401                              74
               17.872372                              74
               17.942341                              74
               18.012312                              74
               18.082281                              74
                18.15225                              74
               18.222221                              74
               18.292191                              74
                18.36216                              74
               18.432133                              74
               18.502102                              74
               18.572073                              74
               18.635059                              74
               18.642042                              74
               18.712011                              74
               18.781982                              74
               18.851952                              74
               18.921923                              74
               18.991892                              74
               19.061861                              74
               19.131832                              74
               19.201801                              74
               19.271772                              74
               19.341742                              74
               19.411711                              74
               19.481682                              74
               19.551651                              74
               19.621622                              74
               19.691591                              74
                19.76156                              74
               19.831532                              74
               19.901501                              74
               19.909903                              74
                19.97147                              74
               20.041441                              74
                20.11141                              74
               20.181381                              74
                20.25135                              74
                20.32132                              74
               20.391291                              74
                20.46126                              74
               20.531231                              74
                 20.6012                              74
               20.671169                              74
                20.74114                              74
                20.81111                              74
               20.881081                              74
                20.95105                              74
               21.021019                              74
                21.09099                              74
               21.160959                              74
               21.230928                              74
               21.271959                              74
               21.300901                              74
               21.370871                              74
               21.440842                              74
               21.510811                              74
                21.58078                              74
               21.650751                              74
                21.72072                              74
               21.790691                              74
               21.860661                              74
                21.93063                              74
               22.000601                              74
                22.07057                              74
               22.140541                              74
                22.21051                              74
               22.280479                              74
               22.350451                              74
                22.42042                              74
               22.490391                              74
                22.56036                              74
               22.630329                              74
                 22.7003                              74
               22.727196                              74
               22.770269                              74
               22.840239                              74
                22.91021                              74
               22.980179                              74
                23.05015                              74
               23.120119                              74
               23.190088                              74
               23.260059                              74
               23.330029                              74
                    23.4                              74
               23.469969                              74
               23.539938                              74
               23.609909                              74
               23.679878                              74
               23.749849                              74
               23.819818                              74
               23.889788                              74
               23.959759                              74
               24.029728                              74
               24.099697                              74
                24.16967                              74
               24.239639                              74
               24.281986                              74
                24.30961                              74
                24.37958                              74
               24.449549                              74
                24.51952                              74
               24.589489                              74
                24.65946                              74
               24.729429                              74
               24.799398                              74
                24.86937                              74
               24.939339                              74
                25.00931                              74
               25.079279                              74
               25.149248                              74
               25.219219                              74
               25.289188                              74
               25.359159                              74
               25.429129                              74
               25.499098                              74
               25.569069                              74
               25.639038                              74
               25.709007                              74
               25.778978                              74
               25.848948                              74
               25.918919                              74
               25.943142                              74
               25.988888                              74
               26.058857                              74
               26.128828                              74
               26.198797                              74
               26.268768                              74
               26.338737                              74
               26.408707                              74
               26.478678                              74
               26.548647                              74
               26.618618                              74
               26.688587                              74
               26.758556                              74
               26.828527                              74
               26.898497                              74
               26.968466                              74
               27.038439                              74
               27.108408                              74
               27.178379                              74
               27.248348                              74
               27.318317                              74
               27.388288                              74
               27.458258                              74
               27.528229                              74
               27.598198                              74
               27.668167                              74
               27.717937                              74
               27.738138                              74
               27.808107                              74
               27.878078                              74
               27.948048                              74
               28.018017                              74
               28.087988                              74
               28.157957                              74
               28.227928                              74
               28.297897                              74
               28.367867                              74
               28.437838                              74
               28.507807                              74
               28.577776                              74
               28.647747                              74
               28.717716                              74
               28.787687                              74
               28.857656                              74
               28.927626                              74
               28.997597                              74
               29.067566                              74
               29.137537                              74
               29.207506                              74
               29.277475                              74
               29.347446                              74
               29.417416                              74
               29.487387                              74
               29.557356                              74
               29.614151                              74
               29.627325                              74
               29.697296                              74
               29.767265                              74
               29.837234                              74
               29.907207                              74
               29.977177                              74
               30.047148                              74
               30.117117                              74
               30.187086                              74
               30.257057                              74
               30.327026                              74
               30.396997                              74
               30.466967                              74
               30.536936                              74
               30.606907                              74
               30.676876                              74
               30.746847                              74
               30.816816                              74
               30.886786                              74
               30.956757                              74
               31.026726                              74
               31.096697                              74
               31.166666                              74
               31.236635                              74
               31.306606                              74
               31.376575                              74
               31.446545                              74
               31.516516                              74
               31.586485                              74
               31.640085                              74
               31.656456                              74
               31.726425                              74
               31.796394                              74
               31.866365                              74
               31.936335                              74
               32.006306                              74
               32.076275                              74
               32.146244                              74
               32.216213                              74
               32.286186                              74
               32.356155                              74
               32.426125                              74
               32.496094                              74
               32.566063                              74
               32.636036                              74
               32.706005                              74
               32.775974                              74
               32.845947                              74
               32.915916                              74
               32.985886                              74
               33.055855                              74
               33.125824                              74
               33.195797                              74
               33.265766                              74
               33.335735                              74
               33.405704                              74
               33.475674                              74
               33.545647                              74
               33.615616                              74
               33.685585                              74
               33.755554                              74
               33.804615                              74
               33.825523                              74
               33.895496                              74
               33.965466                              74
               34.035435                              74
               34.105404                              74
               34.175373                              74
               34.245346                              74
               34.315315                              74
               34.385284                              74
               34.455257                              74
               34.525223                              74
               34.595196                              74
               34.665165                              74
               34.735134                              74
               34.805103                              74
               34.875076                              74
               34.945042                              74
               35.015015                              74
               35.084984                              74
               35.154957                              74
               35.224922                              74
               35.294895                              74
               35.364864                              74
               35.434834                              74
               35.504803                              74
               35.574776                              74
               35.644741                              74
               35.714714                              74
               35.784683                              74
               35.854656                              74
               35.924622                              74
               35.994595                              74
               36.064564                              74
               36.117226                              74
               36.134533                              74
               36.204502                              74
               36.274475                              74
                36.34444                              74
               36.414413                              74
               36.484383                              74
               36.554352                              74
               36.624321                              74
               36.694294                              74
               36.764263                              74
               36.834232                              74
               36.904202                              74
               36.974174                              74
               37.044144                              74
               37.114113                              74
               37.184086                              74
               37.254051                              74
               37.324024                              74
               37.393993                              74
               37.463966                              74
               37.533932                              74
               37.603905                              74
               37.673874                              74
               37.743843                              74
               37.813812                              74
               37.883785                              74
               37.953751                              74
               38.023724                              74
               38.093693                              74
               38.163662                              74
               38.233631                              74
               38.303604                              74
               38.373573                              74
               38.443542                              74
               38.513512                              74
               38.583485                              74
               38.588043                              74
