        Frequency / GHz                S1,1/abs,linear                S1,1/arg,degrees
----------------------------------------------------------------------------------------------------------------
             0.099999994                       0.1596717                       195.44335
                  0.1699                      0.17427604                       204.30827
              0.23979999                      0.19404768                       211.08945
              0.30969998                      0.21725062                       215.97464
              0.37959999                      0.24252163                       219.33912
              0.44949999                      0.26887056                       221.54984
                  0.5194                      0.29559295                       222.90358
              0.58929998                      0.32218549                       223.62467
              0.65919995                      0.34828467                       223.87894
              0.72909999                      0.37362673                       223.78891
              0.79899997                      0.39802184                       223.44595
              0.86889994                      0.42133709                        222.9191
              0.93879998                      0.44348593                       222.26096
                  1.0087                      0.46441978                       221.51242
               1.0785999                      0.48412264                       220.70523
                  1.1485                      0.50260592                       219.86429
                  1.2184                      0.51990459                       219.00901
                  1.2883                      0.53607273                       218.15439
               1.3582001                      0.55117994                        217.3118
               1.4280999                      0.56530739                        216.4896
               1.4979999                      0.57854377                       215.69339
               1.5678999                      0.59098168                        214.9266
               1.6377999                      0.60271369                       214.19071
               1.7076999                      0.61382924                       213.48563
               1.7775999                      0.62441125                       212.80994
                  1.8475                      0.63453387                       212.16117
                  1.9174                      0.64426047                       211.53617
               1.9872999                      0.65364232                       210.93142
                  2.0572                      0.66271784                       210.34316
                  2.1271                      0.67151318                       209.76779
               2.1969998                       0.6800427                       209.20193
               2.2668998                      0.68831024                       208.64286
               2.3367999                      0.69631114                       208.08829
               2.4066999                      0.70403411                       207.53658
               2.4765999                      0.71146388                       206.98697
                  2.5465                      0.71858296                       206.43918
               2.6163998                       0.7253745                       205.89368
               2.6862998                       0.7318234                       205.35144
               2.7561998                      0.73791903                       204.81381
               2.8260999                      0.74365554                       204.28253
               2.8959999                      0.74903311                       203.75944
               2.9658999                      0.75405847                       203.24643
                  3.0358                      0.75874483                       202.74536
                  3.1057                      0.76311109                       202.25782
               3.1756001                      0.76718137                       201.78521
               3.2454998                      0.77098412                       201.32846
               3.3153999                      0.77455022                       200.88822
               3.3852999                      0.77791204                       200.46454
                  3.4552                      0.78110182                       200.05725
                  3.5251                      0.78415022                       199.66558
                   3.595                      0.78708509                       199.28857
               3.6649001                      0.78993059                       198.92493
               3.7347999                      0.79270578                       198.57306
               3.8046999                      0.79542497                       198.23138
               3.8745999                       0.7980968                       197.89826
                  3.9445                      0.80072502                       197.57208
                  4.0144                      0.80330844                       197.25147
                  4.0843                      0.80584213                       196.93518
               4.1542001                      0.80831767                       196.62222
               4.2241001                      0.81072484                       196.31198
               4.2940001                      0.81305251                       196.00413
               4.3638997                       0.8152895                       195.69851
               4.4338002                      0.81742584                       195.39535
               4.5036998                      0.81945357                       195.09512
